8.55	-0.00151188268 0.06219034845 I
8.6	-0.001506304917 0.06289788427 I
8.65	-0.001500205984 0.06360951962 I
8.7	-0.001493581431 0.06432525789 I
8.75	-0.001486426792 0.06504510246 I
8.8	-0.001478737691 0.06576905674 I
8.85	-0.001470509695 0.06649712415 I
8.9	-0.001461738402 0.06722930811 I
8.95	-0.001452419426 0.06796561208 I
9.	-0.001442548391 0.06870603952 I
9.05	-0.001432120933 0.06945059392 I
9.1	-0.001421132702 0.07019927876 I
9.15	-0.00140957936 0.07095209754 I
9.2	-0.00139745658 0.0717090538 I
9.25	-0.001384760048 0.07247015106 I
9.3	-0.001371485462 0.07323539287 I
9.35	-0.001357628532 0.0740047828 I
9.4	-0.001343184981 0.07477832441 I
9.45	-0.001328150541 0.0755560213 I
9.5	-0.00131252096 0.07633787707 I
9.55	-0.001296291996 0.07712389532 I
9.6	-0.001279459418 0.07791407969 I
9.65	-0.001262019009 0.07870843381 I
9.7	-0.001243966562 0.07950696133 I
9.75	-0.001225297884 0.08030966592 I
9.8	-0.00120600879 0.08111655125 I
9.85	-0.001186095111 0.081927621 I
9.9	-0.001165552688 0.08274287888 I
9.95	-0.001144377373 0.08356232859 I
10.	-0.00112256503 0.08438597385 I
10.05	-0.001100111535 0.0852138184 I
10.1	-0.001077012776 0.08604586597 I
10.15	-0.001053264652 0.08688212033 I
10.2	-0.001028863074 0.08772258523 I
10.25	-0.001003803963 0.08856726445 I
10.3	-0.0009780832535 0.08941616179 I
10.35	-0.0009516968907 0.09026928102 I
10.4	-0.0009246408311 0.09112662597 I
10.45	-0.0008969110422 0.09198820045 I
10.5	-0.0008685035039 0.09285400828 I
10.55	-0.0008394142065 0.0937240533 I
10.6	-0.0008096391523 0.09459833936 I
10.65	-0.0007791743545 0.09547687031 I
10.7	-0.0007480158377 0.09635965003 I
10.75	-0.0007161596379 0.09724668238 I
10.8	-0.0006836018017 0.09813797126 I
10.85	-0.0006503383879 0.09903352055 I
10.9	-0.0006163654655 0.09993333416 I
10.95	-0.0005816791152 0.100837416 I
11.	-0.0005462754286 0.10174577 I
11.05	-0.0005101483057 0.1026584001 I
11.1	-0.0004732981611 0.1035753102 I
11.15	-0.0004357190179 0.1044965043 I
11.2	-0.0003974070119 0.1054219863 I
11.25	-0.0003583582898 0.1063517602 I
11.3	-0.0003185690092 0.1072858299 I
